SeqId	contrast	estimate	SE	df	lower.CL	upper.CL	p.value	Model	UniProt	EntrezGeneSymbol	is_diffexp	CI_Width
10439-57	EARLYOA - HEALTHY	-0.715206099767517	0.19025235247198	1766.55874100622	-1.16147753560871	-0.26893466392632	0.000515967518982419	31	P19961	AMY2B	TRUE	0.892542871682394
10440-26	EARLYOA - HEALTHY	-0.143995848928935	0.232241880442053	1830.21188362722	-0.688745334850119	0.400753636992248	0.809165243327852	80	Q9H6B4	CLMP	FALSE	1.08949897184237
10442-1	EARLYOA - HEALTHY	-0.56338345357607	0.19925736149751	1816.84200995753	-1.03076684111106	-0.0960000660410843	0.0131599580144184	68	Q8WZ59	TMEM190	TRUE	0.934766775069971
10447-18	EARLYOA - HEALTHY	0.285976215778637	0.242183114310125	1820.26915868316	-0.282094084858765	0.854046516416039	0.464777202884473	4	Q9H361	PABPC3	FALSE	1.1361406012748
10449-31	EARLYOA - HEALTHY	0.110270773725003	0.18999982578794	1750.7847063133	-0.33541170846219	0.555953255912196	0.830643768950061	21	Q6UWI4	SHISA2	FALSE	0.891364964374386
10451-11	EARLYOA - HEALTHY	0.148241184730456	0.204250884480448	1656.10901699385	-0.330893354717533	0.627375724178445	0.748230794750778	79	Q02818	NUCB1	FALSE	0.958269078895978
10453-7	EARLYOA - HEALTHY	-0.121171810812626	0.197857870460263	1732.20441513751	-0.585291149062548	0.342947527437296	0.813351848056972	67	Q6UY09	CEACAM20	FALSE	0.928238676499844
10454-99	EARLYOA - HEALTHY	0.207215155678377	0.195046550561388	1833.8790545561	-0.25028774877114	0.664718060127894	0.537625157147297	65	Q9Y2G8	DNAJC16	FALSE	0.915005808899034
10455-196	EARLYOA - HEALTHY	-0.12889487596077	0.22385538009147	1791.9128820941	-0.653982035339282	0.396192283417743	0.833066813893128	70	Q6EBC2	IL31	FALSE	1.05017431875703
10457-3	EARLYOA - HEALTHY	-0.0650815541882631	0.222226541817479	1769.24561617129	-0.58635358750385	0.456190479127324	0.953823724277445	83	O95256	IL18RAP	FALSE	1.04254406663117
